[SYSTEM] 2026/03/05 00:19:51 200 | /api/auth/login [49.5471ms]
[SYSTEM] 2026/03/05 00:19:51 200 | /api/products [1.5968ms]
[SYSTEM] 2026/03/05 00:19:51 200 | /api/products [1.2267ms]
[SYSTEM] 2026/03/05 00:20:53 200 | /api/products [1.7909ms]
[SYSTEM] 2026/03/05 00:20:53 200 | /api/products [16.7648ms]
[SYSTEM] 2026/03/05 00:21:13 200 | /api/auth/login [49.8938ms]
[SYSTEM] 2026/03/05 00:21:13 200 | /api/products [1.0217ms]
[SYSTEM] 2026/03/05 00:21:13 200 | /api/products [1.0967ms]
[SYSTEM] 2026/03/05 00:21:51 200 | /api/logs/system [7.667ms]
[SYSTEM] 2026/03/05 00:21:51 200 | /api/logs/system [9.1711ms]
[SYSTEM] 2026/03/05 00:21:54 200 | /api/logs/auth [6.3565ms]
[SYSTEM] 2026/03/05 00:21:56 200 | /api/logs/system [6.4445ms]
[SYSTEM] 2026/03/05 00:21:57 200 | /api/products [1.5428ms]
[SYSTEM] 2026/03/05 00:21:57 200 | /api/products [1.6054ms]
[SYSTEM] 2026/03/05 00:23:55 200 | /api/products/1 [23.4265ms]
[SYSTEM] 2026/03/05 00:23:55 200 | /api/products [935µs]
[SYSTEM] 2026/03/05 00:24:24 201 | /api/products [4.4461ms]
[SYSTEM] 2026/03/05 00:24:24 200 | /api/products [1.7268ms]
[SYSTEM] 2026/03/05 00:31:01 200 | /api/auth/logout [505.1µs]
[SYSTEM] 2026/03/05 00:31:22 200 | /api/auth/login [47.771ms]
[SYSTEM] 2026/03/05 00:31:22 200 | /api/products [1.8534ms]
[SYSTEM] 2026/03/05 00:31:22 200 | /api/products [14.3365ms]
[SYSTEM] 2026/03/05 00:32:02 200 | /api/auth/logout [0s]
[SYSTEM] 2026/03/05 00:32:23 200 | /api/auth/login [47.4656ms]
[SYSTEM] 2026/03/05 00:32:23 200 | /api/products [2.1231ms]
[SYSTEM] 2026/03/05 00:32:23 200 | /api/products [1.9095ms]
[SYSTEM] 2026/03/05 00:33:18 200 | /api/products [1.5202ms]
[SYSTEM] 2026/03/05 00:33:53 200 | /api/auth/logout [0s]
[SYSTEM] 2026/03/05 00:34:21 200 | /api/auth/login [45.6052ms]
[SYSTEM] 2026/03/05 00:34:21 200 | /api/products [1.2618ms]
[SYSTEM] 2026/03/05 00:34:21 200 | /api/products [1.0742ms]
[SYSTEM] 2026/03/05 00:34:51 200 | /api/products [1.5922ms]
[SYSTEM] 2026/03/05 00:34:51 200 | /api/products [1.8082ms]
[SYSTEM] 2026/03/05 00:35:07 200 | /api/auth/login [46.3171ms]
[SYSTEM] 2026/03/05 00:35:07 200 | /api/products [1.1311ms]
[SYSTEM] 2026/03/05 00:35:07 200 | /api/products [2.0665ms]
[SYSTEM] 2026/03/05 00:36:33 200 | /api/products [2.3664ms]
[SYSTEM] 2026/03/05 00:36:33 200 | /api/products [1.3774ms]
[SYSTEM] 2026/03/05 00:38:52 200 | /api/products [2.282ms]
[SYSTEM] 2026/03/05 00:38:52 200 | /api/products [2.1291ms]
[SYSTEM] 2026/03/05 00:38:53 200 | /api/products [1.5931ms]
[SYSTEM] 2026/03/05 00:38:53 200 | /api/products [1.0429ms]
[SYSTEM] 2026/03/05 00:40:03 200 | /api/products [3.7487ms]
[SYSTEM] 2026/03/05 00:40:03 200 | /api/products [17.1624ms]
[SYSTEM] 2026/03/05 00:40:09 200 | /api/auth/logout [0s]
[SYSTEM] 2026/03/05 00:40:28 200 | /api/auth/login [46.2947ms]
[SYSTEM] 2026/03/05 00:40:28 200 | /api/products [1.5174ms]
[SYSTEM] 2026/03/05 00:40:28 200 | /api/products [2.0216ms]
[SYSTEM] 2026/03/05 00:40:33 200 | /api/products [1.0789ms]
[SYSTEM] 2026/03/05 00:40:33 200 | /api/products [1.5938ms]
[SYSTEM] 2026/03/05 00:42:55 200 | /api/auth/login [48.4321ms]
[SYSTEM] 2026/03/05 00:42:55 200 | /api/products [2.1646ms]
[SYSTEM] 2026/03/05 00:42:55 200 | /api/products [15.0734ms]
[SYSTEM] 2026/03/05 00:43:22 200 | /api/products [1.0296ms]
[SYSTEM] 2026/03/05 00:43:22 200 | /api/products [1.0488ms]
[SYSTEM] 2026/03/05 00:43:29 200 | /api/products [1.3665ms]
[SYSTEM] 2026/03/05 00:43:29 200 | /api/products [1.3665ms]
[SYSTEM] 2026/03/05 00:43:55 200 | /api/products [2.0798ms]
[SYSTEM] 2026/03/05 00:43:55 200 | /api/products [1.0022ms]
[SYSTEM] 2026/03/05 00:44:18 200 | /api/products [2.1005ms]
[SYSTEM] 2026/03/05 00:44:18 200 | /api/products [1.0298ms]
[SYSTEM] 2026/03/05 00:44:28 200 | /api/products [1.0706ms]
[SYSTEM] 2026/03/05 00:44:28 200 | /api/products [533.1µs]
[SYSTEM] 2026/03/05 00:44:31 200 | /api/products [1.5394ms]
[SYSTEM] 2026/03/05 00:44:31 200 | /api/products [1.0268ms]
[SYSTEM] 2026/03/05 00:44:33 200 | /api/products [1.572ms]
[SYSTEM] 2026/03/05 00:44:33 200 | /api/products [1.0586ms]
[SYSTEM] 2026/03/05 00:53:28 200 | /api/logs/system [8.0289ms]
[SYSTEM] 2026/03/05 00:53:28 200 | /api/logs/system [8.3439ms]
[SYSTEM] 2026/03/05 00:53:47 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/05 00:53:47 200 | /api/logs/system [9.0728ms]
[SYSTEM] 2026/03/05 00:53:58 200 | /api/logs/auth [6.2727ms]
[SYSTEM] 2026/03/05 00:53:59 200 | /api/logs/system [7.4146ms]
[SYSTEM] 2026/03/05 00:54:09 200 | /api/logs/auth [0s]
[SYSTEM] 2026/03/05 00:54:10 200 | /api/logs/system [6.8278ms]
[SYSTEM] 2026/03/05 00:54:11 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/05 00:54:14 200 | /api/products [1.7362ms]
[SYSTEM] 2026/03/05 00:54:14 200 | /api/products [1.2973ms]
[SYSTEM] 2026/03/05 00:54:17 200 | /api/logs/system [7.4425ms]
[SYSTEM] 2026/03/05 00:54:17 200 | /api/logs/system [4.7802ms]
[SYSTEM] 2026/03/05 00:54:19 200 | /api/products [1.7003ms]
[SYSTEM] 2026/03/05 00:54:19 200 | /api/products [1.5146ms]
[SYSTEM] 2026/03/05 00:54:20 200 | /api/logs/system [9.6724ms]
[SYSTEM] 2026/03/05 00:54:20 200 | /api/logs/system [7.9953ms]
[SYSTEM] 2026/03/05 00:54:21 200 | /api/products [1.5935ms]
[SYSTEM] 2026/03/05 00:54:21 200 | /api/products [1.074ms]
[SYSTEM] 2026/03/05 00:54:28 200 | /api/products [2.4406ms]
[SYSTEM] 2026/03/05 00:54:28 200 | /api/products [1.2691ms]
[SYSTEM] 2026/03/05 00:54:34 200 | /api/products [2.0354ms]
[SYSTEM] 2026/03/05 00:54:34 200 | /api/products [2.6229ms]
[SYSTEM] 2026/03/05 00:54:42 200 | /api/products/2 [11.0886ms]
[SYSTEM] 2026/03/05 00:54:42 200 | /api/products [1.2563ms]
